year,revenue,gross_profit,opex,ebitda,ebit,tax,nopat,capex,wc_change,fcf
1,500000,360000.0,310000.0,50000.0,50000.0,10500.0,39500.0,35000.0,9000.0,-4500.0
2,1100000.0,792000.0,682000.0,110000.0,110000.0,23100.0,86900.0,77000.00000000001,19800.0,-9900.000000000015
3,1980000.0,1425600.0,1227600.0,198000.0,198000.0,41580.0,156420.0,138600.0,35640.0,-17820.0
4,3168000.0,2280960.0,1964160.0,316800.0,316800.0,66528.0,250272.0,221760.00000000003,57024.0,-28512.00000000003
5,4276800.0,3079296.0,2651616.0,427680.0,427680.0,89812.8,337867.2,299376.0,76982.40000000001,-38491.2
