year,revenue,gross_profit,opex,ebitda,ebit,tax,nopat,capex,wc_change,fcf
1,5000000,4099999.9999999995,2400000.0,1699999.9999999995,1699999.9999999995,356999.9999999999,1342999.9999999995,250000.0,70000.00000000001,1022999.9999999995
2,16000000.0,13120000.0,7680000.0,5440000.0,5440000.0,1142400.0,4297600.0,800000.0,224000.0,3273600.0
3,41600000.0,34112000.0,19968000.0,14144000.0,14144000.0,2970240.0,11173760.0,2080000.0,582400.0000000001,8511360.0
4,87360000.0,71635200.0,41932800.0,29702400.0,29702400.0,6237504.0,23464896.0,4368000.0,1223040.0000000002,17873856.0
5,139776000.0,114616320.0,67092480.0,47523840.0,47523840.0,9980006.4,37543833.6,6988800.0,1956864.0,28598169.6
