year,revenue,gross_profit,opex,ebitda,ebit,tax,nopat,capex,wc_change,fcf
1,2000000,1560000.0,1100000.0,460000.0,460000.0,96600.0,363400.0,120000.0,32000.0,211400.0
2,5600000.0,4368000.0,3080000.0000000005,1287999.9999999995,1287999.9999999995,270479.9999999999,1017519.9999999997,336000.0,89600.0,591919.9999999997
3,12320000.000000002,9609600.000000002,6776000.000000002,2833600.0,2833600.0,595056.0,2238544.0,739200.0000000001,197120.00000000003,1302224.0
4,22176000.000000004,17297280.000000004,12196800.000000004,5100480.0,5100480.0,1071100.8,4029379.2,1330560.0000000002,354816.00000000006,2344003.2
5,33264000.000000007,25945920.000000007,18295200.000000004,7650720.000000004,7650720.000000004,1606651.2000000007,6044068.800000003,1995840.0000000005,532224.0000000001,3516004.800000002
